OFO_CODE,OFO_TITLE,SECONDARY_DATA,MENTIONS_FREQUENCY,AVERAGE_CERTAINTY,WEIGHTED_AVERAGE
2021-431301,Payroll Clerk,0.41,0.53,0.42,0.47
2021-252902,Technical ICT Support Services Manager,0.29,0.63,0.58,0.47
2021-132104,Manufacturing Operations Manager,0.40,0.63,0.58,0.55
2021-214402,Marine Engineering Technologist,0.40,0.63,0.58,0.55
2021-263401,Librarian,0.40,0.63,0.58,0.55
2021-222108,Nurse Educator,0.40,0.63,0.58,0.55
2021-222106,Registered Nurse (Critical Care and Emergency),0.40,0.63,0.58,0.55
2021-222104,Registered Nurse (Medical),0.40,0.63,0.58,0.55
2021-222107,Registered Nurse (Mental Health),0.40,0.63,0.58,0.55
2021-222105,Registered Nurse (Operating Theatre),0.40,0.63,0.58,0.55
2021-222103,Registered Nurse (Child and Family Health),0.40,0.63,0.58,0.55
2021-215201,Electronics Engineer,0.40,0.63,0.58,0.55
2021-311401,Mechanical Engineering Technician,0.40,0.63,0.58,0.55
2021-121901,Corporate Services Manager,0.40,0.63,0.58,0.55
2021-132102,Production/Operations Supervisor (Manufacturing),0.40,0.63,0.58,0.55
2021-216501,Surveyor,0.40,0.63,0.58,0.55
2021-652301,Metal Machinist,0.40,0.63,0.58,0.55
2021-215301,Telecommunications Engineer,0.40,0.63,0.58,0.55
2021-211201,Mathematician,0.40,0.63,0.58,0.55
2021-263501,Statistician,0.40,0.63,0.58,0.55
2021-683201,Patternmaker,0.40,0.63,0.58,0.55
2021-226202,Physiotherapist,0.40,0.63,0.58,0.55
2021-321101,Sonographer,0.40,0.63,0.58,0.55
2021-333401,Retail Buyer,0.40,0.63,0.58,0.55
2021-332201,Commercial Sales Representative,0.40,0.63,0.58,0.55
2021-441601,Human Resources Clerk,0.40,0.63,0.58,0.55
2021-411401,Office Administrator,0.40,0.63,0.58,0.55
2021-412101,Secretary (General),0.40,0.63,0.58,0.55
2021-431101,Accounts Clerk,0.40,0.63,0.58,0.55
2021-432201,Production Coordinator,0.40,0.63,0.58,0.55
2021-441901,Programme or Project Administrator,0.40,0.63,0.58,0.55
2021-523101,Retail General Manager,0.40,0.63,0.58,0.55
2021-532201,Commercial Cleaner,0.40,0.63,0.58,0.55
2021-732201,Truck Driver (General),0.40,0.63,0.58,0.55
2021-734301,Crane or Hoist Operator,0.40,0.63,0.58,0.55
2021-734401,Lifting Machine Operator,0.40,0.63,0.58,0.55
2021-214101,Industrial Engineer,0.40,0.63,0.58,0.55
2021-235401,University Lecturer,0.40,0.63,0.58,0.55
